dataset,reported_as,audit_scope,leakage_removed,exact_duplicate_train_rows_removed,near_duplicate_graph_edges_removed,noise_type,noise_rate,graph_beta,seed,method,macro_f1,fpr,fnr,err,err_tail,err_final,mean_weight,retained_fraction,retained_fraction_clean_informative,runtime_sec
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.2,none,1,CoLD,0.7579569229599534,0.02724563644103874,0.024243496726243142,0.8295718255297155,0.6880647296121699,0.7588182775709427,0.8158268275372604,0.8158268275372604,0.9397163120567376,0.06596580002224073
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.2,none,1,ablation_hard,0.7763603666095911,0.031077054065559814,0.01645726420102637,0.959082273436093,0.9326899046102618,0.9458860890231774,0.8243435060326473,0.8243435060326473,0.9787234042553191,0.06368649995420128
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.4,none,1,Graph-CoLD,0.6442239198887093,0.07960834397616007,0.022473898425057513,0.9558657498910296,0.9319327355375092,0.9438992427142694,0.6845634362901661,0.6902058197303051,0.9692671394799054,0.06562589999521151
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.4,none,1,CoLD,0.5997236018548899,0.08216262239250745,0.0230047779154132,0.8548742500919041,0.689396235858075,0.7721352429749895,0.6831085876508162,0.6831085876508162,0.9361702127659575,0.06429379998007789
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.4,none,1,ablation_hard,0.6475708069037137,0.07194550872711793,0.02070430012387188,0.9558657498910296,0.9319327355375092,0.9438992427142694,0.6902058197303051,0.6902058197303051,0.9692671394799054,0.06332379998639226
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.6,none,1,Graph-CoLD,0.40416203579009496,0.19880800340570456,0.03379932755264555,0.9312554672692598,0.8983412811184232,0.9147983741938415,0.5863887013367314,0.5908445706174592,0.9468085106382979,0.06672719999914989
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.6,none,1,CoLD,0.39126021859221505,0.1881651766709238,0.034153247212882674,0.8541522824736036,0.6480157354638012,0.7510840089687024,0.5848119233498935,0.5848119233498935,0.9148936170212766,0.06580280000343919
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,symmetric,0.6,none,1,ablation_hard,0.40732917449041994,0.20476798637718177,0.036453725004423995,0.9312554672692598,0.8983412811184232,0.9147983741938415,0.5908445706174592,0.5908445706174592,0.9468085106382979,0.06497909995960072
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,asymmetric,0.1,none,1,Graph-CoLD,0.8437564590872889,0.01447424435930183,0.08830295522916298,0.9420748249280608,0.9122627985708693,0.9271688117494651,0.9501611430412623,0.9591909155429382,0.9795275590551181,0.06460629997309297
cicids2017,CICIDS-2017,real_stratified_train_3000_dedup_2818_test_8000,True,182,246,asymmetric,0.1,none,1,CoLD,0.660933503788585,0.007662835249042145,0.09502742877366838,0.7459677341091212,0.5157587267600185,0.6308632304345698,0.9492547906316536,0.9492547906316536,0.9354330708661417,0.06486059998860583
