dataset,noise_type,noise_rate,graph_beta,graphcold_macro_f1,cold_macro_f1,hard_macro_f1,delta_macro_f1_vs_cold,delta_macro_f1_vs_hard,graphcold_err_final,cold_err_final,hard_err_final,delta_err_final_vs_cold,graphcold_fnr,cold_fnr,hard_fnr,delta_fnr_vs_cold,paired_scenarios_dataset,p_macro_f1_graphcold_vs_cold,p_macro_f1_graphcold_vs_hard,p_err_graphcold_vs_cold,p_fnr_graphcold_vs_cold,p2c_validity_note
UNSW-NB15,graph_consistency,0.2,0.0,0.5842926024998075,0.6007039134273242,0.580927543236918,-0.016411310927516687,0.003365059262889547,1.0,0.7590576226531481,0.8723585260796316,0.24094237734685187,3.6801507389742684e-05,7.360301477948536e-06,1.4720602955897072e-05,2.9441205911794148e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.2,0.6,0.5802999136587877,0.598598889126756,0.581272615690147,-0.018298975467968215,-0.0009727020313592405,1.0,0.7526222478894248,0.8676976768402253,0.24737775211057522,0.0,7.360301477948536e-06,2.208090443384561e-05,-7.360301477948536e-06,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.4,0.0,0.5784523736862387,0.5938812524526941,0.5813129677558223,-0.015428878766455378,-0.0028605940695836107,1.0,0.759349386205263,0.8725120268537684,0.24065061379473696,7.360301477946667e-05,1.4720602955897072e-05,1.4720602955897072e-05,5.888241182356959e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.4,0.6,0.5826610925038583,0.5940773857243018,0.579602369671293,-0.011416293220443463,0.0030587228325653637,1.0,0.738767845194935,0.8601072458627236,0.261232154805065,7.360301477948536e-06,0.0,1.4720602955897072e-05,7.360301477948536e-06,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.6,0.0,0.5708025712205234,0.5872986701874215,0.5694688852001102,-0.016496098966898187,0.0013336860204131717,1.0,0.758981140624407,0.8723906815334677,0.24101885937559298,0.0,2.2080904433845612e-05,0.0,-2.2080904433845612e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,graph_consistency,0.6,0.6,0.5763351307899628,0.5820260292365921,0.5747899979668418,-0.005690898446629289,0.001545132823120965,1.0,0.7246486861443296,0.8516450449266565,0.27535131385567035,2.2080904433845612e-05,2.9441205911794148e-05,7.360301477948536e-06,-7.360301477948536e-06,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,symmetric,0.1,none,0.5844258068893716,0.6028561158693385,0.5824436515021342,-0.018430308979966892,0.0019821553872374498,1.0,0.7593766690539825,0.8725715138354309,0.2406233309460175,0.0,7.360301477948536e-06,1.4720602955897072e-05,-7.360301477948536e-06,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,symmetric,0.2,none,0.5842926024998075,0.6007039134273242,0.580927543236918,-0.016411310927516687,0.003365059262889547,1.0,0.7590576226531481,0.8723585260796316,0.24094237734685187,3.6801507389742684e-05,7.360301477948536e-06,1.4720602955897072e-05,2.9441205911794148e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,symmetric,0.4,none,0.5784523736862387,0.5938812524526941,0.5813129677558223,-0.015428878766455378,-0.0028605940695836107,1.0,0.759349386205263,0.8725120268537684,0.24065061379473696,7.360301477946667e-05,1.4720602955897072e-05,1.4720602955897072e-05,5.888241182356959e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
UNSW-NB15,symmetric,0.6,none,0.5708025712205234,0.5872986701874215,0.5694688852001102,-0.016496098966898187,0.0013336860204131717,1.0,0.758981140624407,0.8723906815334677,0.24101885937559298,0.0,2.2080904433845612e-05,0.0,-2.2080904433845612e-05,17,0.00043743106464983644,0.2836158362940154,6.799003329615886e-11,0.44754199043229964,formal row retained
